id;name;geoid;geoname;value;datetime
817;Hourly average price final;;;115.22;2024-12-16T00:00:00+01:00
817;Hourly average price final;;;115.59;2024-12-16T01:00:00+01:00
817;Hourly average price final;;;109.86;2024-12-16T02:00:00+01:00
817;Hourly average price final;;;110.8;2024-12-16T03:00:00+01:00
817;Hourly average price final;;;111.95;2024-12-16T04:00:00+01:00
817;Hourly average price final;;;110.09;2024-12-16T05:00:00+01:00
817;Hourly average price final;;;121.24;2024-12-16T06:00:00+01:00
817;Hourly average price final;;;144.7;2024-12-16T07:00:00+01:00
817;Hourly average price final;;;153.2;2024-12-16T08:00:00+01:00
817;Hourly average price final;;;150.86;2024-12-16T09:00:00+01:00
817;Hourly average price final;;;122.72;2024-12-16T10:00:00+01:00
817;Hourly average price final;;;106.33;2024-12-16T11:00:00+01:00
817;Hourly average price final;;;102.07;2024-12-16T12:00:00+01:00
817;Hourly average price final;;;104.41;2024-12-16T13:00:00+01:00
817;Hourly average price final;;;104.11;2024-12-16T14:00:00+01:00
817;Hourly average price final;;;110.35;2024-12-16T15:00:00+01:00
817;Hourly average price final;;;139.69;2024-12-16T16:00:00+01:00
817;Hourly average price final;;;148.49;2024-12-16T17:00:00+01:00
817;Hourly average price final;;;173.44;2024-12-16T18:00:00+01:00
817;Hourly average price final;;;172.15;2024-12-16T19:00:00+01:00
817;Hourly average price final;;;175.35;2024-12-16T20:00:00+01:00
817;Hourly average price final;;;162.99;2024-12-16T21:00:00+01:00
817;Hourly average price final;;;143.05;2024-12-16T22:00:00+01:00
817;Hourly average price final;;;146.55;2024-12-16T23:00:00+01:00
817;Hourly average price final;;;127.97;2024-12-17T00:00:00+01:00
817;Hourly average price final;;;122.62;2024-12-17T01:00:00+01:00
817;Hourly average price final;;;114.65;2024-12-17T02:00:00+01:00
817;Hourly average price final;;;114.12;2024-12-17T03:00:00+01:00
817;Hourly average price final;;;111.63;2024-12-17T04:00:00+01:00
817;Hourly average price final;;;114.27;2024-12-17T05:00:00+01:00
817;Hourly average price final;;;120.39;2024-12-17T06:00:00+01:00
817;Hourly average price final;;;145.83;2024-12-17T07:00:00+01:00
817;Hourly average price final;;;156.71;2024-12-17T08:00:00+01:00
817;Hourly average price final;;;153.23;2024-12-17T09:00:00+01:00
817;Hourly average price final;;;130.74;2024-12-17T10:00:00+01:00
817;Hourly average price final;;;113.55;2024-12-17T11:00:00+01:00
817;Hourly average price final;;;108.74;2024-12-17T12:00:00+01:00
817;Hourly average price final;;;112.74;2024-12-17T13:00:00+01:00
817;Hourly average price final;;;117.09;2024-12-17T14:00:00+01:00
817;Hourly average price final;;;125.89;2024-12-17T15:00:00+01:00
817;Hourly average price final;;;134.39;2024-12-17T16:00:00+01:00
817;Hourly average price final;;;144.64;2024-12-17T17:00:00+01:00
817;Hourly average price final;;;150.79;2024-12-17T18:00:00+01:00
817;Hourly average price final;;;154.72;2024-12-17T19:00:00+01:00
817;Hourly average price final;;;156.13;2024-12-17T20:00:00+01:00
817;Hourly average price final;;;147.39;2024-12-17T21:00:00+01:00
817;Hourly average price final;;;130.77;2024-12-17T22:00:00+01:00
817;Hourly average price final;;;145.52;2024-12-17T23:00:00+01:00
817;Hourly average price final;;;122.45;2024-12-18T00:00:00+01:00
817;Hourly average price final;;;110.45;2024-12-18T01:00:00+01:00
817;Hourly average price final;;;102.36;2024-12-18T02:00:00+01:00
817;Hourly average price final;;;102.58;2024-12-18T03:00:00+01:00
817;Hourly average price final;;;103.3;2024-12-18T04:00:00+01:00
817;Hourly average price final;;;108.77;2024-12-18T05:00:00+01:00
817;Hourly average price final;;;124.89;2024-12-18T06:00:00+01:00
817;Hourly average price final;;;135.2;2024-12-18T07:00:00+01:00
817;Hourly average price final;;;152.21;2024-12-18T08:00:00+01:00
817;Hourly average price final;;;142.58;2024-12-18T09:00:00+01:00
817;Hourly average price final;;;131.55;2024-12-18T10:00:00+01:00
817;Hourly average price final;;;106.4;2024-12-18T11:00:00+01:00
817;Hourly average price final;;;98.99;2024-12-18T12:00:00+01:00
817;Hourly average price final;;;97.48;2024-12-18T13:00:00+01:00
817;Hourly average price final;;;98.76;2024-12-18T14:00:00+01:00
817;Hourly average price final;;;109.45;2024-12-18T15:00:00+01:00
817;Hourly average price final;;;134.08;2024-12-18T16:00:00+01:00
817;Hourly average price final;;;138.21;2024-12-18T17:00:00+01:00
817;Hourly average price final;;;142.33;2024-12-18T18:00:00+01:00
817;Hourly average price final;;;142.19;2024-12-18T19:00:00+01:00
817;Hourly average price final;;;145.22;2024-12-18T20:00:00+01:00
817;Hourly average price final;;;142.51;2024-12-18T21:00:00+01:00
817;Hourly average price final;;;143;2024-12-18T22:00:00+01:00
817;Hourly average price final;;;114.11;2024-12-18T23:00:00+01:00
817;Hourly average price final;;;92.03;2024-12-19T00:00:00+01:00
817;Hourly average price final;;;48.66;2024-12-19T01:00:00+01:00
817;Hourly average price final;;;30.37;2024-12-19T02:00:00+01:00
817;Hourly average price final;;;27.52;2024-12-19T03:00:00+01:00
817;Hourly average price final;;;27.04;2024-12-19T04:00:00+01:00
817;Hourly average price final;;;36.25;2024-12-19T05:00:00+01:00
817;Hourly average price final;;;73.38;2024-12-19T06:00:00+01:00
817;Hourly average price final;;;99.17;2024-12-19T07:00:00+01:00
817;Hourly average price final;;;123.95;2024-12-19T08:00:00+01:00
817;Hourly average price final;;;126.92;2024-12-19T09:00:00+01:00
817;Hourly average price final;;;100.59;2024-12-19T10:00:00+01:00
817;Hourly average price final;;;87.02;2024-12-19T11:00:00+01:00
817;Hourly average price final;;;82.97;2024-12-19T12:00:00+01:00
817;Hourly average price final;;;83.19;2024-12-19T13:00:00+01:00
817;Hourly average price final;;;70.4;2024-12-19T14:00:00+01:00
817;Hourly average price final;;;73.03;2024-12-19T15:00:00+01:00
817;Hourly average price final;;;103.54;2024-12-19T16:00:00+01:00
817;Hourly average price final;;;121.31;2024-12-19T17:00:00+01:00
817;Hourly average price final;;;127.17;2024-12-19T18:00:00+01:00
817;Hourly average price final;;;129.97;2024-12-19T19:00:00+01:00
817;Hourly average price final;;;129.5;2024-12-19T20:00:00+01:00
817;Hourly average price final;;;131.15;2024-12-19T21:00:00+01:00
817;Hourly average price final;;;124.73;2024-12-19T22:00:00+01:00
817;Hourly average price final;;;132.24;2024-12-19T23:00:00+01:00
817;Hourly average price final;;;126.67;2024-12-20T00:00:00+01:00
817;Hourly average price final;;;115.56;2024-12-20T01:00:00+01:00
817;Hourly average price final;;;103.92;2024-12-20T02:00:00+01:00
817;Hourly average price final;;;100;2024-12-20T03:00:00+01:00
817;Hourly average price final;;;103.81;2024-12-20T04:00:00+01:00
817;Hourly average price final;;;107.6;2024-12-20T05:00:00+01:00
817;Hourly average price final;;;124.99;2024-12-20T06:00:00+01:00
817;Hourly average price final;;;141.6;2024-12-20T07:00:00+01:00
817;Hourly average price final;;;151.34;2024-12-20T08:00:00+01:00
817;Hourly average price final;;;146.31;2024-12-20T09:00:00+01:00
817;Hourly average price final;;;131.37;2024-12-20T10:00:00+01:00
817;Hourly average price final;;;113.3;2024-12-20T11:00:00+01:00
817;Hourly average price final;;;100.56;2024-12-20T12:00:00+01:00
817;Hourly average price final;;;99.5;2024-12-20T13:00:00+01:00
817;Hourly average price final;;;105.39;2024-12-20T14:00:00+01:00
817;Hourly average price final;;;119.54;2024-12-20T15:00:00+01:00
817;Hourly average price final;;;139.45;2024-12-20T16:00:00+01:00
817;Hourly average price final;;;151.57;2024-12-20T17:00:00+01:00
817;Hourly average price final;;;152.93;2024-12-20T18:00:00+01:00
817;Hourly average price final;;;155.88;2024-12-20T19:00:00+01:00
817;Hourly average price final;;;155.62;2024-12-20T20:00:00+01:00
817;Hourly average price final;;;150.82;2024-12-20T21:00:00+01:00
817;Hourly average price final;;;142.87;2024-12-20T22:00:00+01:00
817;Hourly average price final;;;151.81;2024-12-20T23:00:00+01:00
817;Hourly average price final;;;131.6;2024-12-21T00:00:00+01:00
817;Hourly average price final;;;121.63;2024-12-21T01:00:00+01:00
817;Hourly average price final;;;109.96;2024-12-21T02:00:00+01:00
817;Hourly average price final;;;104.33;2024-12-21T03:00:00+01:00
817;Hourly average price final;;;103.2;2024-12-21T04:00:00+01:00
817;Hourly average price final;;;102.63;2024-12-21T05:00:00+01:00
817;Hourly average price final;;;105.61;2024-12-21T06:00:00+01:00
817;Hourly average price final;;;117.22;2024-12-21T07:00:00+01:00
817;Hourly average price final;;;120.78;2024-12-21T08:00:00+01:00
817;Hourly average price final;;;145.78;2024-12-21T09:00:00+01:00
817;Hourly average price final;;;95.87;2024-12-21T10:00:00+01:00
817;Hourly average price final;;;51.33;2024-12-21T11:00:00+01:00
817;Hourly average price final;;;44.92;2024-12-21T12:00:00+01:00
817;Hourly average price final;;;44;2024-12-21T13:00:00+01:00
817;Hourly average price final;;;43.45;2024-12-21T14:00:00+01:00
817;Hourly average price final;;;45.98;2024-12-21T15:00:00+01:00
817;Hourly average price final;;;108.37;2024-12-21T16:00:00+01:00
817;Hourly average price final;;;144.46;2024-12-21T17:00:00+01:00
817;Hourly average price final;;;134.58;2024-12-21T18:00:00+01:00
817;Hourly average price final;;;137.99;2024-12-21T19:00:00+01:00
817;Hourly average price final;;;137.39;2024-12-21T20:00:00+01:00
817;Hourly average price final;;;137.05;2024-12-21T21:00:00+01:00
817;Hourly average price final;;;141.7;2024-12-21T22:00:00+01:00
817;Hourly average price final;;;138.45;2024-12-21T23:00:00+01:00
817;Hourly average price final;;;111.64;2024-12-22T00:00:00+01:00
817;Hourly average price final;;;102.12;2024-12-22T01:00:00+01:00
817;Hourly average price final;;;93.3;2024-12-22T02:00:00+01:00
817;Hourly average price final;;;86.85;2024-12-22T03:00:00+01:00
817;Hourly average price final;;;84.87;2024-12-22T04:00:00+01:00
817;Hourly average price final;;;83.54;2024-12-22T05:00:00+01:00
817;Hourly average price final;;;82.21;2024-12-22T06:00:00+01:00
817;Hourly average price final;;;79.45;2024-12-22T07:00:00+01:00
817;Hourly average price final;;;77.08;2024-12-22T08:00:00+01:00
817;Hourly average price final;;;79.16;2024-12-22T09:00:00+01:00
817;Hourly average price final;;;32.34;2024-12-22T10:00:00+01:00
817;Hourly average price final;;;31.05;2024-12-22T11:00:00+01:00
817;Hourly average price final;;;32.59;2024-12-22T12:00:00+01:00
817;Hourly average price final;;;29.69;2024-12-22T13:00:00+01:00
817;Hourly average price final;;;23.86;2024-12-22T14:00:00+01:00
817;Hourly average price final;;;17.19;2024-12-22T15:00:00+01:00
817;Hourly average price final;;;38.36;2024-12-22T16:00:00+01:00
817;Hourly average price final;;;76.49;2024-12-22T17:00:00+01:00
817;Hourly average price final;;;89.29;2024-12-22T18:00:00+01:00
817;Hourly average price final;;;91.7;2024-12-22T19:00:00+01:00
817;Hourly average price final;;;97.44;2024-12-22T20:00:00+01:00
817;Hourly average price final;;;98.08;2024-12-22T21:00:00+01:00
817;Hourly average price final;;;86.38;2024-12-22T22:00:00+01:00
817;Hourly average price final;;;84.86;2024-12-22T23:00:00+01:00
817;Hourly average price final;;;37.16;2024-12-23T00:00:00+01:00
817;Hourly average price final;;;28.47;2024-12-23T01:00:00+01:00
817;Hourly average price final;;;27.16;2024-12-23T02:00:00+01:00
817;Hourly average price final;;;27.3;2024-12-23T03:00:00+01:00
817;Hourly average price final;;;26.11;2024-12-23T04:00:00+01:00
817;Hourly average price final;;;27.94;2024-12-23T05:00:00+01:00
817;Hourly average price final;;;43.91;2024-12-23T06:00:00+01:00
817;Hourly average price final;;;75.33;2024-12-23T07:00:00+01:00
817;Hourly average price final;;;82.6;2024-12-23T08:00:00+01:00
817;Hourly average price final;;;86.73;2024-12-23T09:00:00+01:00
817;Hourly average price final;;;40.43;2024-12-23T10:00:00+01:00
817;Hourly average price final;;;13.93;2024-12-23T11:00:00+01:00
817;Hourly average price final;;;13.81;2024-12-23T12:00:00+01:00
817;Hourly average price final;;;13.7;2024-12-23T13:00:00+01:00
817;Hourly average price final;;;12.29;2024-12-23T14:00:00+01:00
817;Hourly average price final;;;13.33;2024-12-23T15:00:00+01:00
817;Hourly average price final;;;43.98;2024-12-23T16:00:00+01:00
817;Hourly average price final;;;102.81;2024-12-23T17:00:00+01:00
817;Hourly average price final;;;120.99;2024-12-23T18:00:00+01:00
817;Hourly average price final;;;131.09;2024-12-23T19:00:00+01:00
817;Hourly average price final;;;127.92;2024-12-23T20:00:00+01:00
817;Hourly average price final;;;117.12;2024-12-23T21:00:00+01:00
817;Hourly average price final;;;112.55;2024-12-23T22:00:00+01:00
817;Hourly average price final;;;100.31;2024-12-23T23:00:00+01:00
